Location ID,SDG Region Name
"""108""",Sub-Saharan Africa
"""174""",Sub-Saharan Africa
"""262""",Sub-Saharan Africa
"""232""",Sub-Saharan Africa
"""231""",Sub-Saharan Africa
"""404""",Sub-Saharan Africa
"""450""",Sub-Saharan Africa
"""454""",Sub-Saharan Africa
"""480""",Sub-Saharan Africa
"""175""",Sub-Saharan Africa
"""508""",Sub-Saharan Africa
"""638""",Sub-Saharan Africa
"""646""",Sub-Saharan Africa
"""690""",Sub-Saharan Africa
"""706""",Sub-Saharan Africa
"""728""",Sub-Saharan Africa
"""800""",Sub-Saharan Africa
"""834""",Sub-Saharan Africa
"""894""",Sub-Saharan Africa
"""716""",Sub-Saharan Africa
"""24""",Sub-Saharan Africa
"""120""",Sub-Saharan Africa
"""140""",Sub-Saharan Africa
"""148""",Sub-Saharan Africa
"""178""",Sub-Saharan Africa
"""180""",Sub-Saharan Africa
"""226""",Sub-Saharan Africa
"""266""",Sub-Saharan Africa
"""678""",Sub-Saharan Africa
"""72""",Sub-Saharan Africa
"""748""",Sub-Saharan Africa
"""426""",Sub-Saharan Africa
"""516""",Sub-Saharan Africa
"""710""",Sub-Saharan Africa
"""204""",Sub-Saharan Africa
"""854""",Sub-Saharan Africa
"""132""",Sub-Saharan Africa
"""384""",Sub-Saharan Africa
"""270""",Sub-Saharan Africa
"""288""",Sub-Saharan Africa
"""324""",Sub-Saharan Africa
"""624""",Sub-Saharan Africa
"""430""",Sub-Saharan Africa
"""466""",Sub-Saharan Africa
"""478""",Sub-Saharan Africa
"""562""",Sub-Saharan Africa
"""566""",Sub-Saharan Africa
"""654""",Sub-Saharan Africa
"""686""",Sub-Saharan Africa
"""694""",Sub-Saharan Africa
"""768""",Sub-Saharan Africa
"""12""",Northern Africa and Western Asia
"""818""",Northern Africa and Western Asia
"""434""",Northern Africa and Western Asia
"""504""",Northern Africa and Western Asia
"""729""",Northern Africa and Western Asia
"""788""",Northern Africa and Western Asia
"""732""",Northern Africa and Western Asia
"""51""",Northern Africa and Western Asia
"""31""",Northern Africa and Western Asia
"""48""",Northern Africa and Western Asia
"""196""",Northern Africa and Western Asia
"""268""",Northern Africa and Western Asia
"""368""",Northern Africa and Western Asia
"""376""",Northern Africa and Western Asia
"""400""",Northern Africa and Western Asia
"""414""",Northern Africa and Western Asia
"""422""",Northern Africa and Western Asia
"""512""",Northern Africa and Western Asia
"""634""",Northern Africa and Western Asia
"""682""",Northern Africa and Western Asia
"""275""",Northern Africa and Western Asia
"""760""",Northern Africa and Western Asia
"""792""",Northern Africa and Western Asia
"""784""",Northern Africa and Western Asia
"""887""",Northern Africa and Western Asia
"""398""",Central and Southern Asia
"""417""",Central and Southern Asia
"""762""",Central and Southern Asia
"""795""",Central and Southern Asia
"""860""",Central and Southern Asia
"""4""",Central and Southern Asia
"""50""",Central and Southern Asia
"""64""",Central and Southern Asia
"""356""",Central and Southern Asia
"""364""",Central and Southern Asia
"""462""",Central and Southern Asia
"""524""",Central and Southern Asia
"""586""",Central and Southern Asia
"""144""",Central and Southern Asia
"""156""",Eastern and South-Eastern Asia
"""344""",Eastern and South-Eastern Asia
"""446""",Eastern and South-Eastern Asia
"""158""",Eastern and South-Eastern Asia
"""408""",Eastern and South-Eastern Asia
"""392""",Eastern and South-Eastern Asia
"""496""",Eastern and South-Eastern Asia
"""410""",Eastern and South-Eastern Asia
"""96""",Eastern and South-Eastern Asia
"""116""",Eastern and South-Eastern Asia
"""360""",Eastern and South-Eastern Asia
"""418""",Eastern and South-Eastern Asia
"""458""",Eastern and South-Eastern Asia
"""104""",Eastern and South-Eastern Asia
"""608""",Eastern and South-Eastern Asia
"""702""",Eastern and South-Eastern Asia
"""764""",Eastern and South-Eastern Asia
"""626""",Eastern and South-Eastern Asia
"""704""",Eastern and South-Eastern Asia
"""660""",Latin America and the Caribbean
"""28""",Latin America and the Caribbean
"""533""",Latin America and the Caribbean
"""44""",Latin America and the Caribbean
"""52""",Latin America and the Caribbean
"""535""",Latin America and the Caribbean
"""92""",Latin America and the Caribbean
"""136""",Latin America and the Caribbean
"""192""",Latin America and the Caribbean
"""531""",Latin America and the Caribbean
"""212""",Latin America and the Caribbean
"""214""",Latin America and the Caribbean
"""308""",Latin America and the Caribbean
"""312""",Latin America and the Caribbean
"""332""",Latin America and the Caribbean
"""388""",Latin America and the Caribbean
"""474""",Latin America and the Caribbean
"""500""",Latin America and the Caribbean
"""630""",Latin America and the Caribbean
"""652""",Latin America and the Caribbean
"""659""",Latin America and the Caribbean
"""662""",Latin America and the Caribbean
"""663""",Latin America and the Caribbean
"""670""",Latin America and the Caribbean
"""534""",Latin America and the Caribbean
"""780""",Latin America and the Caribbean
"""796""",Latin America and the Caribbean
"""850""",Latin America and the Caribbean
"""84""",Latin America and the Caribbean
"""188""",Latin America and the Caribbean
"""222""",Latin America and the Caribbean
"""320""",Latin America and the Caribbean
"""340""",Latin America and the Caribbean
"""484""",Latin America and the Caribbean
"""558""",Latin America and the Caribbean
"""591""",Latin America and the Caribbean
"""32""",Latin America and the Caribbean
"""68""",Latin America and the Caribbean
"""76""",Latin America and the Caribbean
"""152""",Latin America and the Caribbean
"""170""",Latin America and the Caribbean
"""218""",Latin America and the Caribbean
"""238""",Latin America and the Caribbean
"""254""",Latin America and the Caribbean
"""328""",Latin America and the Caribbean
"""600""",Latin America and the Caribbean
"""604""",Latin America and the Caribbean
"""740""",Latin America and the Caribbean
"""858""",Latin America and the Caribbean
"""862""",Latin America and the Caribbean
"""36""",Australia/New Zealand
"""554""",Australia/New Zealand
"""242""",Oceania (excluding Australia and New Zealand)
"""540""",Oceania (excluding Australia and New Zealand)
"""598""",Oceania (excluding Australia and New Zealand)
"""90""",Oceania (excluding Australia and New Zealand)
"""548""",Oceania (excluding Australia and New Zealand)
"""316""",Oceania (excluding Australia and New Zealand)
"""296""",Oceania (excluding Australia and New Zealand)
"""584""",Oceania (excluding Australia and New Zealand)
"""583""",Oceania (excluding Australia and New Zealand)
"""520""",Oceania (excluding Australia and New Zealand)
"""580""",Oceania (excluding Australia and New Zealand)
"""585""",Oceania (excluding Australia and New Zealand)
"""16""",Oceania (excluding Australia and New Zealand)
"""184""",Oceania (excluding Australia and New Zealand)
"""258""",Oceania (excluding Australia and New Zealand)
"""570""",Oceania (excluding Australia and New Zealand)
"""882""",Oceania (excluding Australia and New Zealand)
"""772""",Oceania (excluding Australia and New Zealand)
"""776""",Oceania (excluding Australia and New Zealand)
"""798""",Oceania (excluding Australia and New Zealand)
"""876""",Oceania (excluding Australia and New Zealand)
"""112""",Europe and Northern America
"""100""",Europe and Northern America
"""203""",Europe and Northern America
"""348""",Europe and Northern America
"""616""",Europe and Northern America
"""498""",Europe and Northern America
"""642""",Europe and Northern America
"""643""",Europe and Northern America
"""703""",Europe and Northern America
"""804""",Europe and Northern America
"""830""",Europe and Northern America
"""208""",Europe and Northern America
"""233""",Europe and Northern America
"""234""",Europe and Northern America
"""246""",Europe and Northern America
"""352""",Europe and Northern America
"""372""",Europe and Northern America
"""833""",Europe and Northern America
"""428""",Europe and Northern America
"""440""",Europe and Northern America
"""578""",Europe and Northern America
"""752""",Europe and Northern America
"""826""",Europe and Northern America
"""8""",Europe and Northern America
"""20""",Europe and Northern America
"""70""",Europe and Northern America
"""191""",Europe and Northern America
"""292""",Europe and Northern America
"""300""",Europe and Northern America
"""336""",Europe and Northern America
"""380""",Europe and Northern America
"""470""",Europe and Northern America
"""499""",Europe and Northern America
"""807""",Europe and Northern America
"""620""",Europe and Northern America
"""674""",Europe and Northern America
"""688""",Europe and Northern America
"""705""",Europe and Northern America
"""724""",Europe and Northern America
"""40""",Europe and Northern America
"""56""",Europe and Northern America
"""250""",Europe and Northern America
"""276""",Europe and Northern America
"""438""",Europe and Northern America
"""442""",Europe and Northern America
"""492""",Europe and Northern America
"""528""",Europe and Northern America
"""756""",Europe and Northern America
"""60""",Europe and Northern America
"""124""",Europe and Northern America
"""304""",Europe and Northern America
"""666""",Europe and Northern America
"""840""",Europe and Northern America
